Tanggal,Inflow (m/s),Outflow(m/s),Curah Hujan (mm)
11/2/2022,11.72,55.00,1.8
11/3/2022,0.00,56.64,2.2
11/4/2022,25.40,58.00,0
11/5/2022,26.43,58.00,64
11/6/2022,125.81,58.00,16
11/7/2022,62.54,58.00,92
11/8/2022,53.46,42.55,4.7
11/9/2022,65.28,32.35,0
11/10/2022,14.16,31.89,8.5
11/11/2022,0.00,45.31,1.6
11/12/2022,36.27,40.07,8888
11/13/2022,35.56,16.09,47
11/14/2022,0.00,23.38,8888
11/15/2022,439.14,35.00,11
11/16/2022,0.00,35.00,0
11/17/2022,8.11,35.00,0
11/18/2022,3.75,35.00,1.4
11/19/2022,35.00,32.57,5
11/20/2022,32.57,14.78,0
11/21/2022,14.78,22.48,0
11/22/2022,18.03,35.00,9.2
11/23/2022,12.77,35.31,1.3
11/24/2022,0.00,50.00,0
11/25/2022,23.54,50.00,0
11/26/2022,14.86,50.00,0
11/27/2022,6.30,50.00,4.1
11/28/2022,10.89,18.48,1.3
11/29/2022,18.48,11.79,0
11/30/2022,3.12,11.86,12.4
12/1/2022,46.58,18.25,3.3
12/2/2022,9.56,14.61,0
12/3/2022,32.01,0.00,0
12/4/2022,21.81,23.53,1.9
12/5/2022,27.90,35.00,11
12/6/2022,0.12,35.00,0
12/7/2022,0.28,35.00,0
12/8/2022,9.07,35.00,0
12/9/2022,0.56,35.00,0
12/10/2022,30.71,35.00,1.6
12/11/2022,0.74,35.00,0
12/12/2022,0.90,41.67,18.2
12/13/2022,0.00,50.00,6
12/14/2022,37.33,50.00,0
12/15/2022,37.36,50.00,0
12/16/2022,12.20,50.00,0.8
12/17/2022,29.09,46.47,32.5
12/18/2022,21.45,35.00,1.2
12/19/2022,1.78,35.00,0.3
12/20/2022,422.14,35.00,0
12/21/2022,0.00,35.00,5.5
12/22/2022,26.80,35.00,2.7
12/23/2022,96.72,35.00,5.5
12/24/2022,176.92,35.00,3.3
12/25/2022,39.22,42.06,8.5
12/26/2022,0.00,50.00,0.1
12/27/2022,121.65,50.00,82.5
12/28/2022,75.46,38.01,0
12/29/2022,67.82,0.00,74.3
12/30/2022,12.81,0.00,2.7
12/31/2022,12.84,17.62,95.3
